time,open,close,high,low,volume
1737939600000,101693.9,101259.7,102031.8,101116.0,1585.31
1737943200000,101259.7,100957.6,101653.6,100802.8,1383.57
1737946800000,100957.6,101357.0,101823.1,100670.3,927.17
1737950400000,101357.2,100378.1,101361.8,100238.2,1224.03
1737954000000,100378.1,100334.0,100699.9,99686.8,1223.47
1737957600000,100334.2,98924.7,100458.0,98664.2,1960.18
1737961200000,98925.1,99002.9,99370.5,97720.0,2462.44
1737964800000,99002.9,98996.5,99322.4,98657.9,874.69
1737968400000,98996.3,99384.8,99499.0,98755.2,643.84
1737972000000,99385.0,98364.7,99415.0,98246.1,697.74
1737975600000,98364.5,98716.8,99334.7,98300.1,862.48
1737979200000,98716.6,100586.4,100872.3,98682.4,1282.99
1737982800000,100586.4,100460.9,101620.0,99981.6,2236.10
1737986400000,100460.9,101883.7,102264.7,100073.9,1718.01
1737990000000,101879.4,101078.2,102081.7,100825.0,1321.49
1737993600000,101078.4,99713.7,101220.2,99527.9,1418.33
1737997200000,99713.7,99127.5,100025.7,99032.0,1177.78
1738000800000,99127.5,99163.0,99734.0,98818.2,575.44
1738004400000,99163.0,99669.1,99930.4,99152.4,529.26
1738008000000,99669.1,101366.9,101724.9,99567.0,798.23
1738011600000,101366.8,101319.2,102407.9,100927.5,1116.16
1738015200000,101319.0,101598.3,101916.5,101236.4,372.30
1738018800000,101598.1,102040.5,102141.5,101598.1,420.79
1738022400000,102040.3,101827.6,102862.0,101740.9,789.66
1738026000000,101827.4,101362.2,101968.5,101355.0,373.98
1738029600000,101359.6,102367.7,102413.8,101278.1,595.29
1738033200000,102366.0,102605.7,102865.0,102003.5,521.92
1738036800000,102605.9,102879.9,103338.4,102568.1,634.06
1738040400000,102879.9,102982.9,103306.8,102788.0,487.41
1738044000000,102983.1,102716.5,103176.1,102587.8,354.72
1738047600000,102716.5,102765.3,103301.7,102493.5,504.15
1738051200000,102767.8,102822.2,103004.9,102575.7,356.38
1738054800000,102822.0,102938.6,102941.5,102362.3,409.62
1738058400000,102938.6,102721.3,103165.0,102570.0,403.58
1738062000000,102722.6,102732.3,102900.0,102534.0,229.62
1738065600000,102732.1,102571.0,102960.0,102449.0,381.20
